,PC1,PC2,PC3,PC4,PC5,PC6,PC7
FLOOR_DESCRIPTION,-0.07263599275246127,-0.06320770534055105,-0.6407896702549152,0.08110288496935623,0.5065270716525883,-0.546169828150831,-0.13649305654221858
CURRENT_ENERGY_EFFICIENCY,-0.5158878188243524,-0.244128168520128,0.04205881922234187,0.032005406013951535,0.21192241117686136,0.15078581135316274,0.38258083936093795
LIGHTING_ENERGY_EFF,-0.08220736083501815,-0.08969715280282131,0.18056772465475018,0.9611693552513796,0.0025292237990645287,-0.005843130299170531,-0.15762372519999926
HOT_WATER_COST_CURRENT,0.20707921816837924,-0.051000464042228404,-0.5711493751857168,0.14397156952500922,0.12056075061812889,0.7393969978597448,0.17078600937296357
EXTENSION_COUNT,0.2158303999954021,0.014050435125167342,0.4530203568418607,-0.1021426042506974,0.8036822783339248,0.21967722454476846,-0.20434398382102725
HEATING_COST_CURRENT,0.5040259410551978,0.07794757533903482,0.1070154511584777,0.15599279538405206,0.09851877618854907,-0.2827299021010163,0.7836562483282885
ENVIRONMENT_IMPACT_CURRENT,-0.5366559344061754,-0.2079914865711116,0.10282608657473812,-0.0758422788091965,0.13087439493819747,0.0026501051409809073,0.3397368492801463
numberrooms,0.21539914057025786,-0.6609540536103069,0.031465738411109,-0.05961590367512898,-0.06436019359090482,-0.04945192563766683,-0.06300077229639943
NUMBER_HEATED_ROOMS,0.20957725463968202,-0.6628466173020248,0.02367055099442121,-0.06124265416246524,-0.08424031233448627,-0.03966483031968616,-0.0756613758110228
